index|old_value|new_value|similarity
HP_0025343|Presence of lupus anticoagulant (LA) autoantibodies. LA represent a heterogeneous group of autoantibodies, IgG, IgM, or a mixture of both classes, that interfere with standard phospholipid-based coagulant tests (this is only an in vitro phenomenon, LA do not cause reduction of coagulation in vivo). The antibodies are directed against plasma proteins which also bind to phospholipid surfaces.|A medical condition characterized by the presence of autoantibodies that prolong phospholipid-dependent coagulation tests, often associated with antiphospholipid syndrome and requiring specific laboratory detection methods such as dilute Russell’s viper venom time (dRVVT).|1
HP_0034312|Abnormally reduced oxyhemoglobin saturation during sleep (nocturnal). Different thresholds are used in the literature, including more than 10 percent of total sleep time below a SpO2 of 90 percent.|Nocturnal hypoxemia is a medical condition characterized by abnormally low oxygen levels in the blood during sleep, which can lead to decreased red blood cell deformability, enhanced hemolysis, and increased risk of hemolytic complications in sickle cell disease patients.|1
HP_6001161|Absence of the normal increase in size of the R wave in the precordial leads when advancing from lead V1 to V6 of the electrocardiogram.|Poor R-wave progression is an electrocardiographic pattern characterized by a delayed or absent increase in R-wave amplitude across the precordial leads, often associated with adverse cardiac outcomes such as sudden cardiac death, cardiac death, and all-cause mortality.|1
HP_6000389|Abnormal result for this screening test for urinary reducing substances including glucose, fructose, galactose, lactose, pentose and maltose, as well as amino acids, cysteine, tyrosine, homogentisic acid, ketone bodies, ascorbic acid and many drugs. This term is applied if the urine stick test for glucose was negative (normal).|A medical finding characterized by the presence of non-specific reducing compounds in urine, often used as a screening test for inborn errors of carbohydrate metabolism, though it has poor specificity and requires follow-up diagnostic tests.|1
HP_0034306|An electrocardiographic finding of a normal QRS followed by a premature ventricular contraction; a rhythmic pairing of normal and atypical beats originating in the ventricles in a 1-1 ratio such that an ectopic ventricular beat follows each regular heartbeat.|A cardiac arrhythmia characterized by the alternation of a normal sinus beat with a premature ventricular contraction, resulting in a regular pattern of paired beats.|1
HP_0005184|A longer than normal interval (corrected for heart rate) between the Q and T waves in the heart's cycle. Prolonged QTc can cause premature action potentials during late phase depolarizations thereby leading to ventricular arrhythmias and ventricular fibrillations.|The QTc interval is a measure of the time between the start of the Q wave and the end of the T wave in the heart's electrical cycle, corrected for heart rate, and is used to assess the risk of arrhythmias and sudden cardiac death.|1
HP_0034383|Increased concentration of biliverdin, a green tetrapyrrolic bile pigment, in the blood circulation.|A medical condition characterized by elevated levels of biliverdin in the blood, often resulting from a genetic defect in the biliverdin reductase-A (BVR-A) gene combined with liver dysfunction, and presenting clinically as green jaundice.|1
HP_0031689|The presence of micro-megakaryocytes, hypo-lobed, or non-lobed nuclei in megakaryocytes of all sizes and multiple, widely-separated nuclei.|Dys-megakaryopoiesis is a pathological condition characterized by abnormal megakaryocyte development, including the presence of micro-megakaryocytes and dysplastic megakaryocytes, identified through CD41 immune staining and morphological analysis in myelodysplastic syndromes.|1
HP_0100636|A rare paranglioma of the lung, tumors that arise from extra-adrenal chromaffin cells.|A rare neuroendocrine tumor originating in the lung, characterized by the presence of chromaffin cells and diagnosed through histopathological evaluation and immunohistochemistry.|1
HP_0025636|Inflammation of the inner lining of the uterus (endometrium).|Chronic endometritis is a persistent inflammation of the endometrial lining characterized by the presence of endometrial stromal plasmacytes (ESPCs), often diagnosed through CD138 immunostaining and associated with poor reproductive outcomes.|1
HP_6000517|The concentration of monolysocardiolipin related to that of cardiolipin is above the upper limit of normal. This is a functional assay that can be performed from a blood spot to diagnose Barth syndrome (OMIM:302060).|A diagnostic measurement of the ratio of monolysocardiolipin (MLCL) to cardiolipin (CL) in blood spots, used as a functional assay to identify Barth syndrome by assessing mitochondrial phospholipid remodeling.|1
HP_6001157|A history of exposure to frequent squatting/kneeling and/or heavy lifting.|Cartilage morphology refers to the structural characteristics and integrity of cartilage tissue, often assessed using imaging techniques such as MRI, and is relevant for evaluating degenerative changes in conditions like knee osteoarthritis.|0
HP_6001167|A congenital finding where the adrenal gland does not form it's typical triangular, Y or V shape and is instead discoid, straight or elongated in shape. It is often found incidentally on renal ultrasound and is associated with renal agenesis and other renal congenital anomalies.|A pathological condition characterized by bleeding within the adrenal gland, often detected through ultrasound imaging and associated with trauma, stress, or underlying medical conditions.|0
HP_6000956|A manifestation of abnormal wound healing in which there is formation of excessive granulation tissue, with the granulation tissue rising above the level of surrounding skin and creating a raised, reddish, moist, and bumpy surface.|A clinical scoring system used to assess the severity of disease activity and scarring in patients with epidermolysis bullosa, based on the extent and intensity of skin lesions and scarring.|0
HP_0034998|A developmental defect characterized by the presence of a supernumerary femoral artery.|A rare anatomical variant characterized by the presence of two distinct superficial femoral arteries, often incidentally discovered through imaging techniques such as multidetector computed tomography or angiography, with clinical relevance for endovascular and vascular bypass surgery planning.|1
HP_0410249|Increased level of IgE antibody against galactose-alpha-1, 3 galactose (alpha-gal), a carbohydrate found in mammalian meat.|A type of IgE-mediated allergic reaction to galactose-α-1,3-galactose (α-gal) characterized by delayed onset of symptoms, typically triggered by mammalian meat consumption and associated with sensitization from Lone Star tick bites.|1
HP_0034185|A type of mild median cleft lip in which the central tubercle of the upper lip is replaced by a mucosal cleft in the midline.|A congenital malformation characterized by a midline cleft in the upper lip, often associated with Oral-Facial-Digital Syndrome type I, and influenced by ancestral genetic factors.|1
HP_0034324|An abnormal widening (dilatation) of the brachiocephalic artery|A chronic inflammatory disease primarily affecting the aorta and its major branches, characterized by granulomatous inflammation, stenosis, occlusion, and aneurysmal degeneration, often diagnosed through imaging and clinical evaluation.|0
HP_0033523|A structural anomaly of the part of the sperm flagellum that is distal to the sperm midpiece and mitochondrial sheath and which leads into the end piece.|A medical condition characterized by the inability of a male to achieve pregnancy in a fertile female due to defects in sperm motility, structure, or function, often associated with genetic mutations or malformations in sperm tail components.|0
HP_0032465|Muscular projections that protrude into the lumen of the bladder, criss-crossing the walls of the bladder on its inner surface.|A chronic urological condition characterized by persistent symptoms of overactive bladder, including urgency, frequency, and nocturia, that does not respond to standard treatments and is not caused by an identifiable underlying pathology.|0
HP_0032438|Abnormally increased variability in the size of platelets.|A platelet disorder characterized by mild thrombocytopenia, platelet anisocytosis, and giant platelets, caused by a mutation in the ITGB3 gene.|0
HP_6000295|A falcine sinus that does not involute but persists beyond birth is defined as a persistent falcine sinus. In the 20-mm embryo stage, the primitive falx cerebri contains the sagittal plexus, a meshwork of anastomotic venous channels from which the superior sagittal sinus and straight sinus are thought to develop. A persistent falcine sinus represents a persistent channel of the caudal anastomotic loops of the sagittal plexus.|A persistent falcine sinus is a venous structure that remains patent in adulthood, often coexisting with normal, absent, or rudimentary straight sinuses, and is identifiable through brain CT angiography.|1
HP_0034581|Presence of Trypanosoma cruzi in the blood stream. Trypanosoma cruzii is the etiological agent of Chagas disease.|A chronic cardiac condition caused by Trypanosoma cruzi infection, characterized by structural and functional abnormalities of the heart, including cardiomyopathy, arrhythmias, and heart failure.|0
HP_0034418|An erythematous lesion of the oral mucosa may result from a variety of tissue alterations, including inflammation, erythrocyte extravasation, and atrophy or reduced keratinization of the surface epithelium.|Erythematous lesions are red or vascular-appearing alterations of the oral mucosa that can result from a variety of etiologies, including vascular anomalies, reactive processes, immune-mediated diseases, hematologic disorders, and epithelial neoplasia, often requiring histopathologic assessment for accurate diagnosis.|1
HP_0410148|A rare form of anaphylaxis for which triggers cannot be identified despite a detailed history and careful diagnostic assessment.|A rare life-threatening disorder characterized by anaphylactic symptoms without identifiable triggers, requiring prompt treatment with intramuscular epinephrine and preventive therapy for frequent episodes.|1
HP_0033378|Presence of increased numbers of bombesin-immuno-positive neuroendocrine cell cluster (neuroepithelial bodies) in the alveolar ducts.|A medical condition characterized by damage to the airway epithelium, often caused by environmental pollutants, and the subsequent biological processes involved in its regeneration and repair.|0
HP_0032928|Neurofilament light chain (NfL) is a neuronal cytoplasmic protein highly expressed in large caliber myelinated axons. Its levels increase in cerebrospinal fluid (CSF) and blood proportionally to the degree of axonal damage in a variety of neurological disorders, including inflammatory, neurodegenerative, traumatic and cerebrovascular diseases.|A biomarker measured in plasma or cerebrospinal fluid that is associated with cognitive decline and neurodegeneration, particularly in Alzheimer disease and mild cognitive impairment, and is used as a prognostic marker for disease progression.|1
HP_0025277|Hyperhidrosis that occurs with gustatory stimulation (e.g., moisture on face from sweating that occurs after eating).|Frey syndrome is a medical condition characterized by gustatory sweating, flushing, warmth, and erythema in the preauricular area, often occurring after parotid gland surgery or trauma.|1
HP_6001073|Dyskinesis is used to describe ventricular muscle segments that bulge outside the left ventricular cavity during systole, as opposed to contracting inwards with the rest of the segments.|A medical condition characterized by abnormal movement or lack of movement in the apex of the left ventricle, often diagnosed using transthoracic echocardiography and associated with adverse cardiovascular outcomes.|1
HP_0025516|A congenital malformation with abnormal connection between one of the coronary arteries and the pulmonary artery.|A coronary-pulmonary fistula is an abnormal connection between a coronary artery and the pulmonary artery, diagnosed using imaging modalities such as echocardiography, coronary angiography, and multidetector computed tomography angiography.|1
HP_0020222|A decreased concentration of homocysteine in the blood.|A neurological condition characterized by the presence of white matter lesions in the brain, often associated with developmental delay, muscle weakness, and chronic headaches, and caused by inborn de novo mutations in the NFE2L2 gene leading to NRF2 accumulation.|0
HP_0025096|Unprovoked explosive pathological sneezing.|A neurological condition caused by ischemia in the lateral medulla, characterized by symptoms such as dysmetria, truncal ataxia, ptosis, miosis, nystagmus, dysphagia, and hiccups, often associated with vertebral artery pathology.|0
HP_0410174|An increased concentration of tropnin T in the blood, which is a cardiac regulatory protein that controls the calcium mediated interaction between actin and myosin. Raised cardiac troponin concentrations are now accepted as the standard biochemical marker for the diagnosis of myocardial infarction.|Cardiac troponins are proteins released into the bloodstream following myocardial damage, detectable using monoclonal antibodies, and serve as superior biochemical markers for diagnosing myocardial infarction and assessing the risk of adverse cardiac events.|1
HP_0012816|A predominantly right ventricular variant of isolated noncompaction cardiomyopathy.|A cardiomyopathy characterized by prominent hypertrabeculation of the right ventricle, deep intertrabecular recesses, and attenuation of the compact myocardium, often associated with sudden unexpected death.|1
HP_0012422|Overgrowth of the choroid plexus.|A rare medical condition characterized by the diffuse enlargement and villous hypertrophy of the choroid plexus, leading to excessive cerebrospinal fluid production and associated hydrocephalus, typically diagnosed via MRI showing contrast-enhanced, diffusely enlarged choroid plexus.|1
HP_0033275|Inter-anastomosing tubular structures located within cisternae of endoplasmic reticulum, most often within endothelial cells and associated with exposure to interferon.|Tubuloreticular inclusions are ultrastructural abnormalities found in glomerular endothelial cells, often associated with autoimmune diseases like lupus nephritis or viral infections, and identified through electron microscopy.|1
